"ID","YEAR","DATE","ROAD_CLASS","DISTRICT","LATITUDE","LONGITUDE","VISIBILITY","LIGHT","ROAD_CONDITION","INJURY","VEHICLE_TYPE","SPEEDING","ALCOHOL","SEASON"
4123246,2007,"2007/01/05 05:00","Major Arterial","Toronto and East York",43.695245,-79.42319,"Clear","Daylight","Dry","None","Other",FALSE,FALSE,"Winter"
4123247,2007,"2007/01/05 05:00","Major Arterial","Toronto and East York",43.695245,-79.42319,"Clear","Daylight","Dry","Minor","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4123248,2007,"2007/01/05 05:00","Major Arterial","Toronto and East York",43.695245,-79.42319,"Clear","Daylight","Dry","Major","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4123271,2007,"2007/01/05 05:00","Major Arterial","Etobicoke York",43.678945,-79.55169,"Clear","Daylight","Dry","Major","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4123272,2007,"2007/01/05 05:00","Major Arterial","Etobicoke York",43.678945,-79.55169,"Clear","Daylight","Dry","None","Other",FALSE,FALSE,"Winter"
4123273,2007,"2007/01/05 05:00","Major Arterial","Etobicoke York",43.678945,-79.55169,"Clear","Daylight","Dry","None","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4123365,2007,"2007/01/06 05:00","Major Arterial","Scarborough",43.764045,-79.20559,"Rain","Daylight","Wet","None","Other",FALSE,FALSE,"Winter"
4123366,2007,"2007/01/06 05:00","Major Arterial","Scarborough",43.764045,-79.20559,"Rain","Daylight","Wet","Minor","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4123367,2007,"2007/01/06 05:00","Major Arterial","Scarborough",43.764045,-79.20559,"Rain","Daylight","Wet","Major","Other",FALSE,FALSE,"Winter"
4123368,2007,"2007/01/06 05:00","Major Arterial","Scarborough",43.764045,-79.20559,"Rain","Daylight","Wet","Minimal","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4123369,2007,"2007/01/06 05:00","Major Arterial","Scarborough",43.764045,-79.20559,"Rain","Daylight","Wet","None","Other",FALSE,FALSE,"Winter"
4119906,2007,"2007/01/07 05:00","Major Arterial","Scarborough",43.811343,-79.250491,"Clear","Daylight","Dry","Major","Motorcycle",FALSE,FALSE,"Winter"
4120429,2007,"2007/01/09 05:00","Major Arterial","Toronto and East York",43.697845,-79.34959,"Clear","Dark","Dry","None","Other",FALSE,FALSE,"Winter"
4120430,2007,"2007/01/09 05:00","Major Arterial","Toronto and East York",43.697845,-79.34959,"Clear","Dark","Dry","None","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4120431,2007,"2007/01/09 05:00","Major Arterial","Toronto and East York",43.697845,-79.34959,"Clear","Dark","Dry","Major","Other",FALSE,FALSE,"Winter"
4273314,2007,"2007/01/10 05:00","Minor Arterial","Etobicoke York",43.730945,-79.59939,"Clear","Daylight","Dry","None","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4273315,2007,"2007/01/10 05:00","Minor Arterial","Etobicoke York",43.730945,-79.59939,"Clear","Daylight","Dry","Major","Other",FALSE,FALSE,"Winter"
4136978,2007,"2007/01/12 05:00","Minor Arterial","Scarborough",43.804145,-79.33069,"Clear","Dark","Wet","None","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4136979,2007,"2007/01/12 05:00","Minor Arterial","Scarborough",43.804145,-79.33069,"Clear","Dark","Wet","Major","Other",FALSE,FALSE,"Winter"
4128281,2007,"2007/01/12 05:00","Minor Arterial","Toronto and East York",43.683745,-79.30109,"Rain","Dark","Wet","None","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4128282,2007,"2007/01/12 05:00","Minor Arterial","Toronto and East York",43.683745,-79.30109,"Rain","Dark","Wet","Major","Other",FALSE,FALSE,"Winter"
4125237,2007,"2007/01/12 05:00","Major Arterial","Scarborough",43.755345,-79.20089,"Rain","Dark","Wet","None","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4125238,2007,"2007/01/12 05:00","Major Arterial","Scarborough",43.755345,-79.20089,"Rain","Dark","Wet","Major","Other",FALSE,FALSE,"Winter"
4126466,2007,"2007/01/15 05:00","Major Arterial","Toronto and East York",43.701845,-79.33679,"Rain","Daylight","Slush","Minor","Automobile, Station Wagon",TRUE,FALSE,"Winter"
4126468,2007,"2007/01/15 05:00","Major Arterial","Toronto and East York",43.701845,-79.33679,"Rain","Daylight","Slush","None","Automobile, Station Wagon",TRUE,FALSE,"Winter"
4126469,2007,"2007/01/15 05:00","Major Arterial","Toronto and East York",43.701845,-79.33679,"Rain","Daylight","Slush","Major","Automobile, Station Wagon",TRUE,FALSE,"Winter"
4126449,2007,"2007/01/15 05:00","Collector","Etobicoke York",43.700645,-79.60769,"Freezing Rain","Dark","Slush","Major","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4126450,2007,"2007/01/15 05:00","Collector","Etobicoke York",43.700645,-79.60769,"Freezing Rain","Dark","Slush","None","Other",FALSE,FALSE,"Winter"
4126451,2007,"2007/01/15 05:00","Collector","Etobicoke York",43.700645,-79.60769,"Freezing Rain","Dark","Slush","None","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4126452,2007,"2007/01/15 05:00","Collector","Etobicoke York",43.700645,-79.60769,"Freezing Rain","Dark","Slush","None","Other",FALSE,FALSE,"Winter"
4127645,2007,"2007/01/16 05:00","Collector","Etobicoke York",43.723945,-79.61529,"Clear","Daylight","Slush","None","Other",FALSE,FALSE,"Winter"
4127646,2007,"2007/01/16 05:00","Collector","Etobicoke York",43.723945,-79.61529,"Clear","Daylight","Slush","Major","Other",FALSE,FALSE,"Winter"
4127647,2007,"2007/01/16 05:00","Collector","Etobicoke York",43.723945,-79.61529,"Clear","Daylight","Slush","None","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4127648,2007,"2007/01/16 05:00","Collector","Etobicoke York",43.723945,-79.61529,"Clear","Daylight","Slush","None","Other",FALSE,FALSE,"Winter"
4127649,2007,"2007/01/16 05:00","Collector","Etobicoke York",43.723945,-79.61529,"Clear","Daylight","Slush","None","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4127629,2007,"2007/01/16 05:00","Major Arterial","Etobicoke York",43.697045,-79.54669,"Clear","Dark","Dry","None","Other",FALSE,FALSE,"Winter"
4127630,2007,"2007/01/16 05:00","Major Arterial","Etobicoke York",43.697045,-79.54669,"Clear","Dark","Dry","Minimal","Truck - Open",FALSE,FALSE,"Winter"
4127631,2007,"2007/01/16 05:00","Major Arterial","Etobicoke York",43.697045,-79.54669,"Clear","Dark","Dry","Major","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4127319,2007,"2007/01/16 05:00","Minor Arterial","Toronto and East York",43.679545,-79.46539,"Clear","Dark","Wet","None","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4127320,2007,"2007/01/16 05:00","Minor Arterial","Toronto and East York",43.679545,-79.46539,"Clear","Dark","Wet","Major","Other",FALSE,FALSE,"Winter"
4127805,2007,"2007/01/17 05:00","Major Arterial","Toronto and East York",43.707145,-79.39619,"Snow","Daylight","Packed Snow","None","Municipal Transit Bus (TTC)",FALSE,FALSE,"Winter"
4127806,2007,"2007/01/17 05:00","Major Arterial","Toronto and East York",43.707145,-79.39619,"Snow","Daylight","Packed Snow","Major","Other",FALSE,FALSE,"Winter"
4128790,2007,"2007/01/18 05:00","Major Arterial","North York",43.747045,-79.38899,"Clear","Daylight","Dry","None","Truck - Open",FALSE,FALSE,"Winter"
4128791,2007,"2007/01/18 05:00","Major Arterial","North York",43.747045,-79.38899,"Clear","Daylight","Dry","Major","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4128784,2007,"2007/01/18 05:00","Collector","North York",43.717945,-79.39369,"Clear","Daylight","Dry","Major","Other",TRUE,FALSE,"Winter"
4128785,2007,"2007/01/18 05:00","Collector","North York",43.717945,-79.39369,"Clear","Daylight","Dry","None","Other",TRUE,FALSE,"Winter"
4128786,2007,"2007/01/18 05:00","Collector","North York",43.717945,-79.39369,"Clear","Daylight","Dry","Minor","Automobile, Station Wagon",TRUE,FALSE,"Winter"
4128810,2007,"2007/01/19 05:00","Major Arterial","Etobicoke York",43.715745,-79.53159,"Clear","Dark","Dry","None","Automobile, Station Wagon",FALSE,FALSE,"Winter"
4128811,2007,"2007/01/19 05:00","Major Arterial","Etobicoke York",43.715745,-79.53159,"Clear","Dark","Dry","Major","Other",FALSE,FALSE,"Winter"
4125852,2007,"2007/01/19 05:00","Major Arterial","Toronto and East York",43.638945,-79.42739,"Clear","Daylight","Dry","None","Other",FALSE,FALSE,"Winter"
